city,link,poi_count,id
北京,/travel-scenic-spot/mafengwo/10065.html,15247,10065.0
上海,/travel-scenic-spot/mafengwo/10099.html,11653,10099.0
重庆,/travel-scenic-spot/mafengwo/10208.html,8622,10208.0
天津,/travel-scenic-spot/mafengwo/10320.html,4240,10320.0
丽江,/travel-scenic-spot/mafengwo/10186.html,829,10186.0
大理,/travel-scenic-spot/mafengwo/10487.html,1061,10487.0
昆明,/travel-scenic-spot/mafengwo/10807.html,1374,10807.0
香格里拉,/travel-scenic-spot/mafengwo/10482.html,286,10482.0
泸沽湖,/travel-scenic-spot/mafengwo/10121.html,-1,10121.0
双廊,/travel-scenic-spot/mafengwo/15950.html,30,15950.0
西双版纳,/travel-scenic-spot/mafengwo/10809.html,335,10809.0
束河,/travel-scenic-spot/mafengwo/10018.html,61,10018.0
腾冲,/travel-scenic-spot/mafengwo/10651.html,251,10651.0
雨崩,/travel-scenic-spot/mafengwo/12141.html,24,12141.0
成都,/travel-scenic-spot/mafengwo/10035.html,8470,10035.0
九寨沟,/travel-scenic-spot/mafengwo/10136.html,158,10136.0
稻城,/travel-scenic-spot/mafengwo/10061.html,116,10061.0
色达,/travel-scenic-spot/mafengwo/10011.html,34,10011.0
若尔盖,/travel-scenic-spot/mafengwo/10564.html,64,10564.0
都江堰,/travel-scenic-spot/mafengwo/10163.html,816,10163.0
亚丁,/travel-scenic-spot/mafengwo/10091.html,-1,10091.0
阿坝,/travel-scenic-spot/mafengwo/11642.html,930,11642.0
峨眉山,/travel-scenic-spot/mafengwo/10143.html,249,10143.0
牛背山,/travel-scenic-spot/mafengwo/17315.html,-1,17315.0
杭州,/travel-scenic-spot/mafengwo/10156.html,7876,10156.0
乌镇,/travel-scenic-spot/mafengwo/10434.html,190,10434.0
西塘,/travel-scenic-spot/mafengwo/10010.html,123,10010.0
千岛湖,/travel-scenic-spot/mafengwo/10445.html,-1,10445.0
普陀山,/travel-scenic-spot/mafengwo/11534.html,-1,11534.0
东极岛,/travel-scenic-spot/mafengwo/10439.html,-1,10439.0
南浔,/travel-scenic-spot/mafengwo/10089.html,136,10089.0
三亚,/travel-scenic-spot/mafengwo/10030.html,935,10030.0
蜈支洲岛,/travel-scenic-spot/mafengwo/14786.html,-1,14786.0
海口,/travel-scenic-spot/mafengwo/10513.html,325,10513.0
厦门,/travel-scenic-spot/mafengwo/10132.html,1803,10132.0
鼓浪屿,/travel-scenic-spot/mafengwo/12522.html,-1,12522.0
武夷山,/travel-scenic-spot/mafengwo/10039.html,254,10039.0
泉州,/travel-scenic-spot/mafengwo/11246.html,1141,11246.0
南京,/travel-scenic-spot/mafengwo/10684.html,4928,10684.0
苏州,/travel-scenic-spot/mafengwo/10207.html,6951,10207.0
无锡,/travel-scenic-spot/mafengwo/10140.html,1377,10140.0
扬州,/travel-scenic-spot/mafengwo/10128.html,699,10128.0
周庄,/travel-scenic-spot/mafengwo/11729.html,76,11729.0
常州,/travel-scenic-spot/mafengwo/10802.html,762,10802.0
连云港,/travel-scenic-spot/mafengwo/10804.html,291,10804.0
同里,/travel-scenic-spot/mafengwo/10435.html,113,10435.0
广州,/travel-scenic-spot/mafengwo/10088.html,8216,10088.0
深圳,/travel-scenic-spot/mafengwo/10198.html,6226,10198.0
珠海,/travel-scenic-spot/mafengwo/10269.html,764,10269.0
汕头,/travel-scenic-spot/mafengwo/13063.html,578,13063.0
桂林,/travel-scenic-spot/mafengwo/10095.html,1120,10095.0
阳朔,/travel-scenic-spot/mafengwo/10027.html,313,10027.0
北海,/travel-scenic-spot/mafengwo/10796.html,255,10796.0
黄姚古镇,/travel-scenic-spot/mafengwo/11755.html,-1,11755.0
涠洲岛,/travel-scenic-spot/mafengwo/10453.html,-1,10453.0
龙脊梯田,/travel-scenic-spot/mafengwo/18065.html,-1,18065.0
拉萨,/travel-scenic-spot/mafengwo/10442.html,535,10442.0
林芝,/travel-scenic-spot/mafengwo/10814.html,395,10814.0
阿里,/travel-scenic-spot/mafengwo/10073.html,171,10073.0
黔东南,/travel-scenic-spot/mafengwo/10381.html,623,10381.0
荔波,/travel-scenic-spot/mafengwo/11932.html,122,11932.0
镇远,/travel-scenic-spot/mafengwo/14753.html,89,14753.0
西江,/travel-scenic-spot/mafengwo/14484.html,71,14484.0
黄果树,/travel-scenic-spot/mafengwo/10085.html,70,10085.0
西安,/travel-scenic-spot/mafengwo/10195.html,6572,10195.0
青海湖,/travel-scenic-spot/mafengwo/10799.html,159,10799.0
西宁,/travel-scenic-spot/mafengwo/10800.html,326,10800.0
祁连,/travel-scenic-spot/mafengwo/19603.html,58,19603.0
敦煌,/travel-scenic-spot/mafengwo/10240.html,173,10240.0
